SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),1201-1205 Pine St,San Francisco,CA,94109,6600000,12,,Downtown,7744,2819,1909,3,852,,Active,October-18-2017 09:00 AM,October-18-2017 10:30 AM,http://www.redfin.com/CA/San-Francisco/1205-Pine-St-94109/home/144037701,San Francisco MLS,463431,N,Y,37.790106,-122.4158288
MLS Listing,,Multi-Family (5+ Unit),798 Post St,San Francisco,CA,94109,19500000,33,,Downtown,30366,5466,1913,3,642,,Active,October-19-2017 09:00 AM,October-19-2017 10:30 AM,http://www.redfin.com/CA/San-Francisco/798-Post-St-94109/unit-14/home/1401007,San Francisco MLS,463678,N,Y,37.7877121,-122.4149009
MLS Listing,,Condo/Co-op,177 Townsend St #439,San Francisco,CA,94107,368946,1,1.0,South Beach,675,,2007,3,547,614,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/177-Townsend-St-94107/unit-439/home/17306151,San Francisco MLS,463739,N,Y,37.7791091,-122.3919445
MLS Listing,,Single Family Residential,1547 Oakdale,San Francisco,CA,94124,849000,3,1.0,Bayview,1750,5000,1852,3,485,,Active,October-14-2017 11:00 AM,October-14-2017 12:00 PM,http://www.redfin.com/CA/San-Francisco/1547-Oakdale-Ave-94124/home/1835339,San Francisco MLS,462188,N,Y,37.733828,-122.38952
MLS Listing,,Multi-Family (2-4 Unit),138-140 8th Ave,San Francisco,CA,94118,3975000,4,3.5,Lake,4025,2996,1909,4,988,,Active,,,http://www.redfin.com/CA/San-Francisco/140-8th-Ave-94118/home/1499679,San Francisco MLS,459024,N,Y,37.7858307,-122.4665152
MLS Listing,,Single Family Residential,246 Bemis St,San Francisco,CA,94131,2988000,4,3.0,Glen Park,2440,5400,1908,4,1225,,Active,,,http://www.redfin.com/CA/San-Francisco/246-Bemis-St-94131/home/1206052,San Francisco MLS,463723,N,Y,37.7364143,-122.4320931
MLS Listing,,Vacant Land,2435-2445 16th St,San Francisco,CA,94103,9995000,,,Inner Mission,,10000,,4,,,Active,,,http://www.redfin.com/CA/San-Francisco/2445-16th-St-94103/home/144029699,San Francisco MLS,463716,N,Y,37.7653869,-122.411281
MLS Listing,,Condo/Co-op,747 Leavenworth St #1,SAN FRANCISCO,CA,94109,1049000,2,2.0,SAN FRANCISCO,1104,3358,1921,4,950,283,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/747-Leavenworth-St-94109/unit-1/home/862713,MLSListings,ML81680913,N,Y,37.7879804,-122.415292
MLS Listing,,Multi-Family (2-4 Unit),1222 35th Ave,San Francisco,CA,94122,1400000,4,2.0,Central Sunset,1850,3000,1945,4,757,,Active,,,http://www.redfin.com/CA/San-Francisco/1222-35th-Ave-94122/home/144029381,San Francisco MLS,463669,N,Y,37.764199,-122.494039
MLS Listing,,Condo/Co-op,1 Grand View Ter,San Francisco,CA,94114,1399000,3,2.5,Eureka Valley/Dolore,1748,,1955,4,800,300,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1-Grand-View-Ter-94114/home/1570040,San Francisco MLS,463276,N,Y,37.75715,-122.441456
MLS Listing,,Single Family Residential,46 Presidio Ave,San Francisco,CA,94115,3995000,4,3.5,Pacific Heights,2805,2705,1916,4,1424,,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/46-Presidio-Ave-94115/home/1209685,San Francisco MLS,463708,N,Y,37.7912562,-122.4473468
MLS Listing,,Single Family Residential,1908 Broadway,San Francisco,CA,94109,2995000,2,3.5,Pacific Heights,3343,2748,1900,4,896,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1908-Broadway-94109/home/1243839,San Francisco MLS,463713,N,Y,37.7953059,-122.428808
MLS Listing,,Condo/Co-op,1942 Bush St,San Francisco,CA,94115,1995000,4,2.0,Lower Pacific Height,1980,,1900,4,1008,266,Active,October-14-2017 12:00 PM,October-14-2017 03:00 PM,http://www.redfin.com/CA/San-Francisco/1942-Bush-St-94115/home/1107064,San Francisco MLS,463688,N,Y,37.787837,-122.42931
MLS Listing,,Single Family Residential,348 5th Ave,San Francisco,CA,94118,2468000,5,5.0,Inner Richmond,3274,3000,,4,754,,Active,October-14-2017 01:00 PM,October-14-2017 03:00 PM,http://www.redfin.com/CA/San-Francisco/348-5th-Ave-94118/home/1297752,San Francisco MLS,463445,N,Y,37.7821134,-122.4630728
MLS Listing,,Condo/Co-op,1177 California #724,San Francisco,CA,94108,1795000,2,2.0,Nob Hill,1653,,,4,1086,1420,Active,,,http://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-724/home/1707283,San Francisco MLS,463707,N,Y,37.7910302,-122.4137217
MLS Listing,,Condo/Co-op,1734 Bay St #203,San Francisco,CA,94123,750000,1,1.0,Marina,,,,4,,529,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1734-Bay-St-94123/unit-203/home/1882386,San Francisco MLS,463706,N,Y,37.8030671,-122.4355939
